Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Date,Dried fruits,282,20.53,63.35,0.4,39,75.03,2.45,2,0.05,0.20600000000000002,1.02,43,62,656,0.29,0.39,0.032,8.0
"Fig, dried",Dried fruits,249,30.0,47.9,1.2,162,63.9,3.3,10,0.36,0.287,2.03,68,67,680,0.66,0.92,0.14400000000000002,9.8
"Mango, dried",Dried fruits,319,16.6,66.27,42.3,0,78.58,2.45,162,4.02,0.3,0.23,20,50,279,0.3,1.18,0.287,2.4
"Papaya, dried",Dried fruits,295,21.42,67.55,32.4,54,75.43,1.25,22,0.8,0.12300000000000001,0.69,56,27,484,0.22,0.84,0.215,4.5
"Peach, dried",Dried fruits,239,31.8,41.74,4.8,28,61.33,3.61,7,0.19,0.364,4.06,42,119,996,0.57,0.76,0.08199999999999999,8.2
"Pear, dried",Dried fruits,262,26.69,62.2,7.0,34,69.7,1.87,6,0.06,0.371,2.1,33,59,533,0.39,0.63,0.035,7.5
"Persimmon, dried",Dried fruits,366,0.86,80.06,4.0,22,96.07,1.54,3,1.94,0.303,0.42,24,45,429,0.3,0.66,0.053,9.6
"Pineapple, dried",Dried fruits,313,15.95,72.94,25.4,35,81.54,1.43,3,0.05,0.295,0.79,32,21,290,0.32,0.47,0.024,3.7
"Prune, dried",Dried fruits,240,30.92,38.13,0.6,43,63.88,2.18,2,0.43,0.281,0.93,41,69,732,0.44,0.38,0.08800000000000001,7.1
Raisins,Dried fruits,299,15.46,65.18,2.3,62,79.32,3.3,26,0.12,0.272,1.79,36,98,744,0.36,0.25,0.094,4.5
"Tamarind, dried",Dried fruits,254,28.26,44.9,0.6,67,66.21,2.52,25,0.09,0.078,2.52,83,102,565,0.09,0.57,0.245,4.6
"Apple, raw",Apples,52,85.56,10.39,4.6,6,13.81,0.26,1,0.18,0.027000000000000003,0.12,5,11,107,0.04,0.17,0.027999999999999997,2.4
"Applesauce, regular",Apples,68,81.98,14.67,1.7,3,17.49,0.16,2,0.18,0.032,0.12,3,6,75,0.03,0.17,0.03,1.2
"Applesauce, unsweetened",Apples,42,88.22,9.39,1.0,4,11.27,0.17,2,0.16,0.027000000000000003,0.23,3,5,74,0.03,0.1,0.008,1.1
"Applesauce, flavored",Apples,68,81.98,14.67,1.7,3,17.49,0.16,2,0.18,0.032,0.12,3,6,75,0.03,0.17,0.03,1.2
Apple pie filling,Apples,100,73.4,13.8,1.7,4,26.1,0.1,47,0.04,0.055,0.29,2,7,45,0.04,0.1,0.0,1.0
"Apple, baked",Apples,112,73.63,18.99,3.9,14,22.7,0.32,4,0.27,0.03,0.19,6,13,114,0.05,3.04,1.8119999999999998,2.5
"Avocado, raw",Other vegetables and combinations,160,73.23,0.66,10.0,12,8.53,2.0,7,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
"Banana, raw",Bananas,89,74.91,12.23,8.7,5,22.84,1.09,1,0.1,0.078,0.26,27,22,358,0.15,0.33,0.11199999999999999,2.6
"Banana, fried",Bananas,151,62.35,20.94,7.4,13,32.26,1.19,4,0.19,0.079,0.33,29,24,353,0.16,3.21,1.901,2.8
"Cantaloupe, raw",Melons,34,90.2,7.88,10.9,9,8.16,0.82,30,0.05,0.085,0.38,13,17,157,0.44,0.18,0.051,0.8
"Cassaba melon, raw",Melons,28,91.85,5.69,21.8,11,6.58,1.11,9,0.05,0.06,0.34,11,5,182,0.07,0.1,0.025,0.9
"Grapes, raw",Grapes,69,80.54,15.48,3.2,10,18.1,0.72,2,0.19,0.127,0.36,7,20,191,0.07,0.16,0.054000000000000006,0.9
"Honeydew melon, raw",Melons,36,89.82,8.12,18.0,6,9.09,0.54,18,0.02,0.024,0.17,10,11,228,0.09,0.14,0.038,0.8
"Nectarine, raw",Peaches and nectarines,39,89.0,7.89,2.9,2,9.18,1.06,13,0.61,0.08199999999999999,0.3,9,26,131,0.21,0.28,0.0,1.5
"Peach, raw",Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0.91,13,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
"Peach, canned, NFS",Peaches and nectarines,47,87.24,10.65,2.7,3,11.94,0.43,4,0.44,0.052000000000000005,0.34,6,10,116,0.09,0.09,0.009000000000000001,1.2
"Peach, canned, in syrup",Peaches and nectarines,53,85.68,12.41,2.7,2,13.59,0.4,3,0.45,0.05,0.3,5,9,91,0.08,0.08,0.006,1.2
"Peach, canned, juice pack",Peaches and nectarines,41,88.79,8.89,2.8,4,10.3,0.45,6,0.44,0.054000000000000006,0.39,6,12,141,0.1,0.1,0.012,1.2
"Peach, frozen",Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0.91,13,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
"Pear, raw",Pears,57,83.96,9.75,4.3,9,15.23,0.36,1,0.12,0.08199999999999999,0.18,7,12,116,0.1,0.14,0.022000000000000002,3.1
"Pear, Asian, raw",Pears,42,88.25,7.05,3.8,4,10.65,0.5,0,0.12,0.05,0.0,8,11,121,0.02,0.23,0.012,3.6
"Pear, canned, NFS",Pears,51,86.05,11.81,1.0,5,13.47,0.2,3,0.07,0.049,0.25,5,8,75,0.09,0.06,0.006,1.5
"Pear, canned, in syrup",Pears,57,84.47,13.6,0.9,4,15.15,0.18,2,0.07,0.047,0.2,4,6,49,0.08,0.05,0.002,1.5
"Pear, canned, juice pack",Pears,45,87.63,10.03,1.1,6,11.79,0.23,5,0.08,0.051,0.29,6,9,100,0.1,0.07,0.009000000000000001,1.5
"Pineapple, raw",Pineapple,50,86.0,9.85,47.8,13,13.12,0.54,1,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009000000000000001,1.4
"Pineapple, canned, NFS",Pineapple,54,85.16,13.07,7.1,15,13.91,0.42,2,0.01,0.098,0.42,17,5,141,0.12,0.12,0.009000000000000001,0.7
"Pineapple, canned, in syrup",Pineapple,60,83.56,14.88,7.1,14,15.6,0.4,1,0.01,0.09699999999999999,0.37,17,4,117,0.11,0.11,0.006,0.7
"Pineapple, canned, juice pack",Pineapple,48,86.76,11.26,7.0,16,12.22,0.44,4,0.01,0.098,0.46,18,7,166,0.12,0.12,0.012,0.8
"Pineapple, frozen",Pineapple,50,86.0,9.85,47.8,13,13.12,0.54,1,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009000000000000001,1.4
"Watermelon, raw",Melons,30,91.45,6.2,8.1,7,7.55,0.61,1,0.05,0.042,0.24,10,11,112,0.1,0.15,0.016,0.4
"Strawberries, raw",Strawberries,32,90.95,4.89,58.8,16,7.68,0.67,1,0.29,0.048,0.41,13,24,153,0.14,0.3,0.015,2.0
"Strawberries, canned",Strawberries,92,75.35,21.83,31.7,13,23.53,0.56,4,0.19,0.063,0.49,8,12,86,0.09,0.26,0.013999999999999999,1.7
"Strawberries, frozen",Strawberries,35,89.97,4.56,41.2,16,9.13,0.43,2,0.29,0.049,0.75,11,13,148,0.13,0.11,0.006,2.1
